Date,Open,High,Low,Close,Volume
06/24/2025,"24.14","24.40","24.11","24.31","34,404,160"
06/23/2025,"23.87","24.09","23.77","24.03","31,959,080"
06/20/2025,"24.00","24.09","23.77","23.97","63,098,141"
06/18/2025,"23.96","24.08","23.77","23.88","37,076,207"
06/17/2025,"24.27","24.32","23.91","24.00","40,408,781"
06/16/2025,"24.50","24.59","24.28","24.40","35,102,141"
06/13/2025,"24.79","24.95","24.46","24.54","46,368,359"
06/12/2025,"24.53","24.88","24.53","24.84","42,465,422"
06/11/2025,"24.33","24.69","24.32","24.48","38,558,672"
06/10/2025,"23.97","24.42","23.96","24.30","40,439,207"
06/09/2025,"23.44","24.14","23.42","23.97","42,542,641"
06/06/2025,"23.27","23.58","23.25","23.35","30,426,240"
06/05/2025,"23.44","23.44","23.08","23.12","33,199,871"
06/04/2025,"23.41","23.54","23.35","23.39","24,500,119"
06/03/2025,"23.38","23.54","23.06","23.35","37,887,102"
06/02/2025,"23.54","23.56","23.22","23.46","30,443,930"
05/30/2025,"23.48","23.62","23.16","23.49","56,618,551"
05/29/2025,"23.33","23.45","23.16","23.45","26,210,100"
05/28/2025,"23.61","23.64","23.11","23.18","36,737,180"
05/27/2025,"23.55","23.66","23.37","23.61","36,155,379"
05/23/2025,"22.95","23.39","22.88","23.32","35,405,391"
05/22/2025,"23.04","23.16","22.81","23.04","38,602,840"
05/21/2025,"23.47","23.48","23.04","23.04","42,984,719"
05/20/2025,"23.17","23.70","23.16","23.52","57,047,500"
05/19/2025,"22.74","23.03","22.64","23.00","31,513,689"
05/16/2025,"22.65","22.85","22.45","22.83","37,786,793"
05/15/2025,"22.20","22.60","22.09","22.60","51,800,090"
05/14/2025,"22.86","22.90","21.97","22.02","59,393,961"
05/13/2025,"22.90","22.98","22.49","22.87","41,193,230"
05/12/2025,"22.23","23.15","22.18","23.09","77,480,930"
05/09/2025,"22.51","22.60","22.26","22.28","39,059,762"
05/08/2025,"22.82","23.09","22.51","22.97","55,669,820"
05/07/2025,"22.99","23.09","22.72","22.79","48,369,887"
05/06/2025,"23.83","23.89","22.85","22.88","60,872,641"
05/05/2025,"24.20","24.25","23.85","23.87","40,811,809"
05/02/2025,"24.28","24.30","23.97","24.20","41,685,762"
05/01/2025,"24.30","24.33","23.80","23.93","46,891,738"
04/30/2025,"24.20","24.44","23.98","24.41","53,941,719"
04/29/2025,"22.83","24.12","22.46","23.79","98,540,195"
04/28/2025,"23.03","23.29","22.90","23.05","55,888,879"
04/25/2025,"22.77","23.11","22.48","22.92","35,847,680"
04/24/2025,"22.40","22.86","22.23","22.78","35,009,621"
04/23/2025,"22.78","23.06","22.24","22.39","50,781,008"
04/22/2025,"22.18","22.55","22.15","22.53","36,052,602"
04/21/2025,"22.13","22.17","21.87","22.04","32,021,010"
04/17/2025,"22.15","22.55","22.10","22.14","54,073,680"
04/16/2025,"22.49","22.68","21.95","22.04","37,641,160"
04/15/2025,"22.17","22.93","22.13","22.44","51,814,672"
04/14/2025,"22.08","22.23","21.87","22.12","61,900,898"
04/11/2025,"21.59","22.00","21.28","21.91","55,078,090"
04/10/2025,"22.26","22.27","21.09","21.59","72,960,680"
04/09/2025,"21.11","22.54","20.92","22.49","95,954,383"
04/08/2025,"22.90","22.99","21.44","21.84","72,406,016"
04/07/2025,"22.14","23.16","21.75","22.63","86,106,062"
04/04/2025,"23.94","24.10","22.95","22.97","80,002,594"
04/03/2025,"24.74","24.87","24.28","24.29","53,501,840"
04/02/2025,"24.50","24.74","24.31","24.70","41,964,969"
04/01/2025,"25.29","25.35","24.52","24.54","54,444,199"
03/31/2025,"24.80","25.43","24.61","25.34","53,498,113"
03/28/2025,"25.03","25.22","24.81","25.21","32,352,551"
03/27/2025,"25.20","25.23","24.83","25.01","51,302,020"
03/26/2025,"25.52","25.65","25.13","25.21","49,578,887"
03/25/2025,"26.16","26.20","25.51","25.55","47,607,594"
03/24/2025,"26.10","26.22","25.89","26.14","37,944,359"
03/21/2025,"26.13","26.52","26.01","26.28","349,996,500"
03/20/2025,"26.25","26.30","26.02","26.19","35,378,941"
03/19/2025,"26.33","26.50","26.08","26.21","42,522,711"
03/18/2025,"26.21","26.40","26.10","26.31","32,958,719"
03/17/2025,"25.74","26.15","25.59","26.05","32,676,850"
03/14/2025,"25.62","25.76","25.50","25.72","30,298,340"
03/13/2025,"25.76","26.07","25.53","25.60","36,717,859"
03/12/2025,"25.94","25.97","25.50","25.71","37,331,039"
03/11/2025,"26.57","26.62","25.87","25.99","44,841,406"
